SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
J7333WN        ,JackCvBrochMlKARAG V,RAYO/WINE ,KARA,KARA GIRL,35,334.16,"11,695.60",1,15,"9,084.75","3,893.55",42.9,"4,072.35",44.8,4.2,344,30,52,3,
6186BLBK       ,FaldRodUsflYABES V  ,POLY/NEGR ,YABE,YABES,44,162.83,"7,164.52",0.6,30,"8,952.92","3,959.98",44.2,"4,068.02",45.4,6,500,40.5,50,3,
TM3104         ,JeanCaTuPanCESTT V  ,ALGD/2P2B ,CEST,C EST TOI,4,259.46,"1,037.84",0.1,17,"8,433.86","3,318.24",39.3,"4,023.04",47.7,16.3,1489,81,74,13,
PLSW1001WH     ,BraziUsfPolySPREE V ,POLY/BLAN ,KORU,KORUS SALES,166,56.54,"9,385.64",3.1,23,"5,321.86","1,878.06",35.3,"4,021.44",75.6,1.6,481,12.2,50,6,
TA8482BG       ,BlusClCasM34MINE V  ,POLY/VINO ,MINE,MINE EDGE,31,228.87,"7,094.97",0.6,21,"8,804.36","3,521.80",40,"3,998.09",45.4,6.1,505,40.4,73,14,
NUDEBRANTL     ,FormaCiliUsfNUDEB V ,CILI/NATU ,KORU,KORUS SALES,258,135.69,"35,008.02",7.4,15,"6,026.16",430.44,7.1,"3,991.93",66.2,0.7,132,5.5,694,7,
2007WH         ,BlusClcaUsfCtCHOIC V,SPAN/BLAN ,CHOI,CHOICE,114,66.79,"7,614.06",0.7,68,"8,478.56","3,052.20",36,"3,947.93",46.6,5.6,484,37.4,2373,3,
T1573CL        ,BlusCvBotM34ACTIVE V,POLY/CORA ,ACTI,ACTIVE USA,36,187.02,"6,732.72",0.6,24,"8,400.00","3,600.00",42.9,"3,911.52",46.6,5.9,512,40,75,3,
D9754BKBE      ,VestForClMmKARAG V  ,POLY/ENCA ,KARA,KARA GIRL,16,364.74,"5,835.84",0.6,12,"8,283.89","3,142.15",37.9,"3,907.01",47.2,6.5,584,42.9,64,13,
D34725KH       ,PantCiReBroPdeDAZZ V,POLY/KAKI ,DAZZ,DAZZ,30,273.84,"8,215.20",0.8,17,"8,536.89","3,658.74",42.9,"3,887.49",45.5,5.3,443,36.2,147,6,
D9839BKWH      ,VestForClM34KARAG V ,POLY/RAYA ,KARA,KARA GIRL,21,341.21,"7,165.41",0.8,11,"7,617.37","2,856.50",37.5,"3,864.06",50.7,5,513,34.4,64,15,
BE4321MZ       ,BlusClCasMmPAPER V  ,POLY/MOST ,XPAM,PAPERMOON,34,183.18,"6,228.12",0.6,24,"8,246.10","3,127.74",37.9,"3,849.78",46.7,6.3,548,41.4,51,3,
HJ9488OFWH     ,ChaqCvBotMlCHOCO V  ,POLY/BLAN ,CHOC,CHOCOLATE,9,173.66,"1,562.94",0.1,27,"8,536.82","3,789.22",44.4,"3,848.00",45.1,14.4,1182,75,75,22,
TA8704RY       ,BlusClCasMcMINE V   ,POLY/NEGR ,MINE,MINE EDGE,32,130.91,"4,189.12",0.6,23,"6,843.82","3,056.07",44.7,"3,835.19",56,6.3,809,41.8,73,6,
D9179NV        ,VestForClSmKLAXO V  ,POLY/AZUL ,KLAX,KLAXONS,58,286.42,"16,612.36",2.5,10,"6,665.20","2,856.50",42.9,"3,801.00",57,1.9,253,14.7,146,7,
D5725BKWH      ,VestCarClSmDRESS V  ,POLY/CUAD ,DRES,DRESS CODE,12,314.34,"3,772.08",0.4,12,"7,527.37","2,855.27",37.9,"3,755.29",49.9,8,796,50,76,14,
