SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
GT1030ANV      ,BlusCcaBotMlTIMIN U ,ALGD/AZUL ,TIMI,THE TIMING ,9,231.5,"2,083.50",3.9,1,392.61,168.26,42.9,161.11,41,1.3,88,10,143,47,
GT1030BLWH     ,BlusCcaBotMlTIMIN U ,ALGD/RAYA ,TIMI,THE TIMING ,0,231.5,0,0,1,392.61,168.26,42.9,161.11,41,24,1670,100,143,76,
MS85107BBKWH   ,FaldMiniPanTIMIN U  ,VISC/DISE ,TIMI,THE TIMING ,1,231.5,231.5,0.4,1,392.61,168.26,42.9,161.11,41,8,557,50,143,27,
T4333OFWH      ,BlusClCasM3/4CELIN U,POLY/BORD ,CELI,CELINE BY,4,185.3,741.2,1.7,1,343.91,147.39,42.9,158.61,46.1,2.7,228,20,212,25,
FB490097MC     ,BlusClCasM34DESSE U ,POLY/FLOR ,KATE,KATE COLLECT,6,191.82,"1,150.92",2.6,1,350,150,42.9,158.18,45.2,1.8,152,14.3,145,18,
T8524BKWHRD    ,BlusClCasMmKATE U   ,RAYO/ZIGZ ,KATE,KATE COLLECT,3,191.82,575.46,1.3,1,350,150,42.9,158.18,45.2,3.4,283,25,145,25,
T1009CR        ,BlusClCasUsMlACTIV U,POLY/CREM ,ACTI,ACTIVE USA,1,125.67,125.67,0.2,2,412.18,274.78,66.7,157.2,38.1,12,739,66.7,237,9,
B1099SBK       ,FaldCarZipSKYPL U   ,RAYO/NEGR ,SKYP,SKY PLUS,9,205.04,"1,845.36",3.9,1,362.17,155.22,42.9,157.13,43.4,1.3,97,10,145,25,
70023BSABK     ,CalcUsfPolyMAMIA U  ,POLY/NEGR ,UNIO,UNION HOSIER,4,16.54,66.16,0.9,2,189.56,0,0,156.48,82.5,4.8,2271,33.3,142,76,
58073BE        ,BlumUsfNyloBASIC U  ,NYLO/BEIG ,UNIO,UNION HOSIER,2,35.28,70.56,0.9,1,191.3,0,0,156.02,81.6,4.8,2123,33.3,142,82,
58073BK        ,BlumUsfNyloBASIC U  ,NYLO/NEGR ,UNIO,UNION HOSIER,0,35.28,0,0,1,191.3,0,0,156.02,81.6,24,10614,100,142,82,
SH1483LPK      ,FajaHebUsfCueJOIA U ,CUER/ROSA ,JOIA,JOIA TRADING,9,79.37,714.33,3.9,1,233.91,0,0,154.54,66.1,1.3,246,10,144,139,
84356WH        ,BlumUsfPolyBIJOU U  ,POLY/BLAN ,KORU,KORUS SALES,1,39.69,39.69,0.4,1,191.3,0,0,151.61,79.3,8,3056,50,144,50,
GT890KH        ,BlusClCasM34CESTT U ,RAYO/KAKI ,CEST,C EST TOI,3,180.37,541.11,1.3,1,331.74,142.17,42.9,151.37,45.6,3.4,288,25,149,25,
T1188RDWH      ,BlusCcaBotM34SUGAR U,ALGD/CUAD ,ACTI,ACTIVE USA,0,171.97,0,0,1,319.56,136.96,42.9,147.59,46.2,24,2060,100,237,54,
LT3335CL       ,BlusClCasMcLOVER U  ,POLY/CORAL,LOVR,LOVE REPUBLI,2,173.65,347.3,0.9,1,319.56,136.96,42.9,145.91,45.7,4.8,403,33.3,145,90,
91046OG        ,BlusClcasMlCATWA U  ,POLY/FLOR ,CATW,CATWALK,0,198.43,0,0,1,343.91,147.39,42.9,145.48,42.3,24,1760,100,437,113,
RV105KH        ,FaldRodFjCiPdeDIVA U,POLY/KAKI ,DIVA,DIVA USA,21,145.52,"3,055.92",9,1,289.13,123.91,42.9,143.17,49.5,0.6,55,4.5,279,34,
T9848BL        ,BlusClcaM34ACTIV U  ,POLY/AZUL ,ACTI,ACTIVE USA,1,171.97,171.97,0.4,1,319.56,136.96,42.9,141.46,44.3,8,635,50,420,54,
T3970BKWH      ,BlusCvCasMmKLAXO U  ,VISC/RAYA ,KLAX,KLAXONS,3,231.5,694.5,0.6,2,604.34,604.36,100,141.34,23.4,6,183,40,146,61,
