SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
20078BBK       ,BraziUsfPolyALWAY U ,POLY/NEGR ,KORU,KORUS SALES,21,92.6,"1,944.60",1.5,6,"2,394.78",0,0,"1,839.18",76.8,2.9,973,22.2,143,25,
DNP173KH       ,PantCaTuPdeTIMIN U  ,ALGD/KAKI ,TIMI,THE TIMING ,3,231.5,694.5,0.1,13,"4,823.50","2,467.81",51.2,"1,814.00",37.6,16.4,990,81.3,143,14,
BE4274PTPMT    ,BlusCvCasM3/4PAPER V,POLY/DISE ,XPAM,PAPERMOON,4,230.67,922.68,0.2,10,"4,109.63","1,933.87",47.1,"1,802.93",43.9,13.3,1042,71.4,51,36,
0011NV         ,PantCaAcaPdeCIELO U ,ALGD/1P1B ,CIEL,CIELO,3,370.4,"1,111.20",0.1,15,"7,355.49","3,053.16",41.5,"1,799.49",24.5,17.1,555,83.3,943,81,
P645TWNV       ,PantCiRecPde2BCLO V ,ALGD/AZUL ,TWOB,TWO BEE,25,280.52,"7,013.00",1.3,8,"4,017.36","1,721.76",42.9,"1,773.20",44.1,3.3,262,24.2,72,8,
BR9495PBE      ,BraziUsfPolyMAMIA U ,POLY/BEIG ,UNIO,UNION HOSIER,15,37.48,562.2,0.6,11,"2,185.31","1,248.56",57.1,"1,773.03",81.1,6.4,2769,42.3,143,43,
KP2000XBN      ,PantLeggindSKYPL V  ,RAYO/1P1B ,SKYP,SKY PLUS,55,247.13,"13,592.15",2.6,9,"3,988.75","1,450.40",36.4,"1,764.58",44.2,1.8,144,14.1,72,8,
6177RY         ,BlusClCasM34YABES V ,RAYO/ROYA ,YABE,YABES,26,203.54,"5,292.04",1.2,9,"3,587.00","1,304.32",36.4,"1,755.14",48.9,3.5,339,25.7,51,9,
T1437TPBG      ,BlusClRayM34ACTIV V ,POLY/TAUP ,ACTI,ACTIVE USA,1,169.61,169.61,0,13,"3,959.95","1,635.64",41.3,"1,755.02",44.3,20.8,1656,92.9,52,35,
TA8743GN       ,BlusClCasMlMINE V   ,POLY/VERD ,MINE,MINE EDGE,17,202.71,"3,446.07",0.7,11,"3,983.87","1,707.42",42.9,"1,754.06",44,5.9,461,39.3,73,38,
CSPV1BK        ,PantUsfNyloDUESA V  ,NYLO/NEGR ,JOIA,JOIA TRADING,121,49.75,"6,019.75",2.6,20,"2,744.70",542.3,19.8,"1,746.37",63.6,1.8,317,14.2,943,18,
