SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
217988BE       ,ZapPtMetCoPuCAMIL T ,PLAN/BEIG ,KTIA,guangzhou Ti,70,154.89,"10,842.30",1,21,"5,413.00","3,680.84",68,"2,160.31",39.9,3.1,208,23.1,196,16,
PAMELA64NUDNUB ,ZapTcMetLonaBAMBO U ,TCOR/PIED ,JPOR,J.P ORIGINAL,43,357.18,"15,358.74",2,6,"4,326.10",865.22,20,"2,154.58",49.8,1.6,156,12.2,318,35,
OBJECTSTW      ,ZapPtMetGamuSODA V  ,PLAN/TWEE ,FORD,FORTUNE DINA,52,162.74,"8,462.48",1.1,13,"4,245.70","1,010.85",23.8,"2,130.08",50.2,2.7,268,20,80,9,
467845KH       ,ZapPtMetPuADDIT V   ,PLAN/KHAK ,KHAN,HANG GUAN SH,17,120.63,"2,050.71",0.2,21,"4,636.98","2,576.10",55.6,"2,103.75",45.4,9.2,761,55.3,71,6,
EIFFELHBKNP    ,ZapTaMetGamuDELIC V ,TALT/NEGR ,FORD,FORTUNE DINA,55,243.43,"13,388.65",1.6,10,"4,532.65","1,510.85",33.3,"2,100.71",46.3,2,173,15.4,1159,11,
A2905GD        ,SandTaFiMetPuTOOTA V,TALT/PIED ,KXIE,xie zhen mei,57,256.82,"14,638.74",4.1,4,"3,123.48",0,0,"2,096.20",67.1,0.8,166,6.6,76,2,
ES00310BE      ,ZapPtMetHebPuTOOTA V,PU/BEIG   ,KERI,Erin Shoes,210,131.19,"27,549.90",3.5,17,"4,326.17","1,557.36",36,"2,095.94",48.4,0.9,88,7.5,80,3,
RIO14TN        ,SandTcMetPuPAZZL V  ,TCOR/TAN  ,SPRI,Springland I,4,214.11,856.44,0.2,6,"3,380.00",-260,-7.7,"2,095.34",62,10.3,1678,60,79,10,
MILTIDAHBGPU   ,ZapPtMetCueSODA V   ,PLAN/BURG ,FORD,FORTUNE DINA,12,190.09,"2,281.08",0.3,11,"4,176.05","1,228.25",29.4,"2,085.06",49.9,7.5,752,47.8,80,34,
JORGE40BK      ,ZapTaMetCueTOPMO V  ,TALT/NEGR ,TOPG,TOP GUY INTL,18,259.84,"4,677.12",0.6,9,"4,420.00",260,5.9,"2,081.44",47.1,4.8,427,33.3,79,7,
